Grid ID,Grid,Bucket,Sub-stratum,Config ID,Pay4Partner,Context,Fog of War,Contract Type,Total Turns,Run ID,Non-Cooperative Baseline Player 0,Non-Cooperative Baseline Player 1,Total Score,Score Player 0,Score Player 1,Gini,Max Possible Score,Reached Goal Player 0,Reached Goal Player 1,Total Trades Proposed,Total Trades Accepted,Total Trades Rejected,Total P4P Promises Kept,Total P4P Promises Broken,amount_received_by_0_from_trades,amount_received_by_1_from_trades,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_0,num_tiles_promised_to_receive_from_contract_1,points_for_completion_promised_to_0,points_for_completion_promised_to_1,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
40,,Mutual Dependency,"MD (1,2)",ctx1_fog00_p4pfalse_contract_none,False,True,"[False, False]",,6,20250918_125139,0,0,130,0,0,0.03846153846153855,130,True,True,1,1,0,0,0,2,3,0,0,0,0,0,0,0,1,3,2,3,1
40,"[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",ctx1_fog00_p4pfalse_contract_none,False,True,"[False, False]",,6,20250918_130348,0,0,130,0,0,0.03846153846153855,130,True,True,1,1,0,0,0,2,3,0,0,0,0,0,0,0,1,3,2,3,1
40,"[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",ctx1_fog00_p4pfalse_contract_none,False,True,"[False, False]",,6,20250918_130449,0,0,130,0,0,0.03846153846153855,130,True,True,1,1,0,0,0,2,3,0,0,0,0,0,0,0,1,3,2,3,1
40,,Mutual Dependency,"MD (1,2)",ctx1_fog00_p4ptrue_contract_none,True,True,"[False, False]",,7,20250918_125238,0,0,130,0,0,0.03846153846153855,130,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,1
40,"[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",ctx1_fog00_p4ptrue_contract_none,True,True,"[False, False]",,6,20250918_130037,0,0,130,0,0,0.0,130,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,1
40,"[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",ctx1_fog00_p4ptrue_contract_none,True,True,"[False, False]",,6,20250918_130306,0,0,130,0,0,0.03846153846153855,130,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,1
